time,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,label
1531930511.313198,-0.0747996926536841,-0.0232080244869464,-0.996428019287868,-0.0315847424618833,-0.0479733981192112,0.0289776027202606,0.013344177044928,0.32361945,-0.0686465499999988,9.56148375,243975.29817383247,-443248.4561358645,-236993.8245434581,0
1531930511.6441886,-0.0873560659148383,-0.036581679488618,-0.995051252360646,-0.0300616641120276,0.4438062906265259,-0.0658158883452415,-0.0271305367350578,0.12748645,0.3236194500000012,9.97336305,119069.4913842981,-367309.3219524797,-310247.0339824376,0
1531930512.058519,-0.0757557000119749,-0.1575223142331588,-0.9838786554532992,-0.0378230852487447,0.6302465200424194,0.0198097769170999,-0.1565215289592743,-0.34323275,0.1765197000000007,5.79573015,8569.426677984067,-353599.7684714734,-343492.4145516276,0
1531930512.4202552,-0.0495188702628684,-0.2575895936635144,-0.963057232439049,-0.0609610512622145,0.4466966986656189,0.1205749660730361,-0.2418224811553955,-0.91201845,0.5001391500000008,6.1585762,-15387.979200636975,-387832.7875203823,-311889.6166394904,0
1531930512.814615,-0.0103704654019642,-0.3087200106384687,-0.945790442430282,-0.1003237134792269,-0.0887274295091629,0.1909195631742477,-0.2483958154916763,-1.24544455,-0.2745861999999996,3.1577413,-1566.7142079085174,-397566.7142079086,-286204.7551131559,0
1531930513.2222626,0.0087235132328357,-0.3268317297069511,-0.9352242975318852,-0.1358691800211903,-0.0004939576610922,0.0099525125697254,-0.1989726573228836,-1.28467115,0.7845320000000007,5.18771785,3299.592860680068,-397604.04885671847,-279340.0814278639,0
1531930513.5493643,0.0327898582940171,-0.3293531136788433,-0.9272579596298156,-0.175054357290129,-0.1491728276014328,0.107060208916664,-0.3239249587059021,-1.38273765,0.5295591000000008,7.07059465,60323.89160357264,-386323.8916035727,-268690.27099106833,0
1531930513.9660828,0.078845092791972,-0.2996009096418494,-0.9176716659184836,-0.2488000399011151,-0.0556933209300041,-0.0049658864736557,-0.4972612261772156,-1.38273765,0.7649187000000006,5.099458,132896.47514009196,-343051.7624299541,-285762.94060748845,0
1531930514.353299,0.0928043124450819,-0.2832491085126425,-0.901628843817848,-0.3134050575757827,0.0083943214267492,-0.0875575467944145,-0.1884677708148956,-1.4709975,-0.2745861999999988,9.9635564,180781.5146760427,-303327.72798593604,-294260.50489201414,0
1531930514.5682542,0.0891817654738922,-0.2882968451490996,-0.8942734141875204,-0.3304642226647709,0.0835575386881828,-0.0799403563141823,-0.1394278109073639,-1.53964405,-0.0098066499999988,9.12999115,183146.6816404985,-295284.43945316726,-296284.43945316714,0
1531930515.043613,0.1031049146367042,-0.2543804576696307,-0.8860908098119213,-0.3735010523417574,-0.2655975222587585,-0.1210658699274063,-0.2694137096405029,-1.7848103,0.4216859500000011,9.0025047,205985.382674638,-267956.148023914,-307540.19764474547,0
